Which memory configurations (Memory) are most common?,,,,,How does memory type or size affect the average price?,
,,,,,,
,,,,,,
Memory,Count of Product,,,,Memory,Average of Price
256GB SSD,412,,,,1TB SSD +  1TB HDD,"€ 3,624"
1TB HDD,215,,,,512GB SSD +  1.0TB Hybrid,"€ 3,240"
500GB HDD,124,,,,240GB SSD,"€ 3,100"
512GB SSD,114,,,,1TB SSD,"€ 3,072"
128GB SSD +  1TB HDD,94,,,,256GB SSD +  1.0TB Hybrid,"€ 2,750"
128GB SSD,74,,,,512GB SSD +  1TB HDD,"€ 2,500"
256GB SSD +  1TB HDD,73,,,,8GB SSD,"€ 2,249"
32GB Flash Storage,36,,,,64GB Flash Storage +  1TB HDD,"€ 1,993"
2TB HDD,16,,,,512GB SSD,"€ 1,887"
1TB SSD,14,,,,256GB SSD +  1TB HDD,"€ 1,856"
512GB SSD +  1TB HDD,14,,,,512GB SSD +  2TB HDD,"€ 1,849"
64GB Flash Storage,13,,,,512GB SSD +  256GB SSD,"€ 1,608"
256GB SSD +  2TB HDD,10,,,,256GB SSD +  2TB HDD,"€ 1,536"
256GB Flash Storage,8,,,,512GB SSD +  512GB SSD,"€ 1,499"
16GB Flash Storage,7,,,,256GB SSD +  500GB HDD,"€ 1,497"
1.0TB Hybrid,7,,,,256GB Flash Storage,"€ 1,455"
32GB SSD,6,,,,256GB SSD +  256GB SSD,"€ 1,289"
180GB SSD,5,,,,128GB SSD +  1TB HDD,"€ 1,267"
128GB Flash Storage,4,,,,256GB SSD,"€ 1,229"
512GB SSD +  2TB HDD,3,,,,512GB Flash Storage,"€ 1,222"
16GB SSD,3,,,,180GB SSD,"€ 1,099"
512GB Flash Storage,2,,,,508GB Hybrid,"€ 1,002"
128GB SSD +  2TB HDD,2,,,,128GB SSD +  2TB HDD,€ 978
256GB SSD +  500GB HDD,2,,,,1.0TB Hybrid,€ 858
1TB SSD +  1TB HDD,2,,,,128GB SSD,€ 710
256GB SSD +  256GB SSD,2,,,,128GB Flash Storage,€ 708
64GB SSD,1,,,,1TB HDD,€ 672
512GB SSD +  1.0TB Hybrid,1,,,,1.0TB HDD,€ 659
128GB HDD,1,,,,2TB HDD,€ 649
1TB HDD +  1TB HDD,1,,,,500GB HDD,€ 640
512GB SSD +  512GB SSD,1,,,,1TB HDD +  1TB HDD,€ 621
64GB Flash Storage +  1TB HDD,1,,,,128GB HDD,€ 590
32GB HDD,1,,,,64GB Flash Storage,€ 467
508GB Hybrid,1,,,,16GB Flash Storage,€ 340
240GB SSD,1,,,,32GB Flash Storage,€ 315
8GB SSD,1,,,,32GB SSD,€ 285
1.0TB HDD,1,,,,64GB SSD,€ 278
512GB SSD +  256GB SSD,1,,,,32GB HDD,€ 265
256GB SSD +  1.0TB Hybrid,1,,,,16GB SSD,€ 224
